Timestamp,Vehicle ID,Speed (km/h)
20250404_133028,33,60.3,snapshots\vehicle_33_20250404_133028.jpg
20250404_133028,30,52.0,snapshots\vehicle_30_20250404_133028.jpg
20250404_133028,33,60.1,snapshots\vehicle_33_20250404_133028.jpg
20250404_133028,30,51.1,snapshots\vehicle_30_20250404_133028.jpg
20250404_133028,33,62.4,snapshots\vehicle_33_20250404_133028.jpg
20250404_133028,33,61.7,snapshots\vehicle_33_20250404_133028.jpg
20250404_133028,33,61.5,snapshots\vehicle_33_20250404_133028.jpg
20250404_133028,33,61.4,snapshots\vehicle_33_20250404_133028.jpg
20250404_133028,31,50.4,snapshots\vehicle_31_20250404_133028.jpg
20250404_133028,33,61.4,snapshots\vehicle_33_20250404_133028.jpg
20250404_133028,31,53.9,snapshots\vehicle_31_20250404_133028.jpg
20250404_133028,33,61.4,snapshots\vehicle_33_20250404_133028.jpg
20250404_133029,31,57.9,snapshots\vehicle_31_20250404_133029.jpg
20250404_133029,33,61.4,snapshots\vehicle_33_20250404_133029.jpg
20250404_133029,31,62.6,snapshots\vehicle_31_20250404_133029.jpg
20250404_133029,33,61.4,snapshots\vehicle_33_20250404_133029.jpg
20250404_133029,31,65.8,snapshots\vehicle_31_20250404_133029.jpg
20250404_133029,33,61.4,snapshots\vehicle_33_20250404_133029.jpg
20250404_133029,31,68.9,snapshots\vehicle_31_20250404_133029.jpg
20250404_133029,33,61.4,snapshots\vehicle_33_20250404_133029.jpg
20250404_133029,31,71.7,snapshots\vehicle_31_20250404_133029.jpg
20250404_133029,33,61.4,snapshots\vehicle_33_20250404_133029.jpg
20250404_133029,31,74.0,snapshots\vehicle_31_20250404_133029.jpg
20250404_133029,33,61.4,snapshots\vehicle_33_20250404_133029.jpg
20250404_133029,31,73.4,snapshots\vehicle_31_20250404_133029.jpg
20250404_133029,31,71.0,snapshots\vehicle_31_20250404_133029.jpg
20250404_133029,31,68.2,snapshots\vehicle_31_20250404_133029.jpg
20250404_133029,31,65.8,snapshots\vehicle_31_20250404_133029.jpg
20250404_133029,31,63.6,snapshots\vehicle_31_20250404_133029.jpg
20250404_133029,31,62.9,snapshots\vehicle_31_20250404_133029.jpg
20250404_133030,31,62.7,snapshots\vehicle_31_20250404_133030.jpg
20250404_133030,31,62.7,snapshots\vehicle_31_20250404_133030.jpg
20250404_133030,34,52.5,snapshots\vehicle_34_20250404_133030.jpg
20250404_133030,31,62.6,snapshots\vehicle_31_20250404_133030.jpg
20250404_133030,34,55.5,snapshots\vehicle_34_20250404_133030.jpg
20250404_133030,31,62.6,snapshots\vehicle_31_20250404_133030.jpg
20250404_133030,34,55.2,snapshots\vehicle_34_20250404_133030.jpg
20250404_133030,31,62.6,snapshots\vehicle_31_20250404_133030.jpg
20250404_133030,34,54.9,snapshots\vehicle_34_20250404_133030.jpg
20250404_133030,31,62.6,snapshots\vehicle_31_20250404_133030.jpg
20250404_133030,34,54.4,snapshots\vehicle_34_20250404_133030.jpg
20250404_133030,31,62.6,snapshots\vehicle_31_20250404_133030.jpg
20250404_133030,34,52.8,snapshots\vehicle_34_20250404_133030.jpg
20250404_133030,31,62.6,snapshots\vehicle_31_20250404_133030.jpg
20250404_133030,34,51.1,snapshots\vehicle_34_20250404_133030.jpg
20250404_133030,31,62.6,snapshots\vehicle_31_20250404_133030.jpg
20250404_133032,50,50.8,snapshots\vehicle_50_20250404_133032.jpg
20250404_133032,50,54.7,snapshots\vehicle_50_20250404_133032.jpg
20250404_133032,50,58.2,snapshots\vehicle_50_20250404_133032.jpg
20250404_133032,50,62.2,snapshots\vehicle_50_20250404_133032.jpg
20250404_133032,50,65.5,snapshots\vehicle_50_20250404_133032.jpg
20250404_133032,50,67.9,snapshots\vehicle_50_20250404_133032.jpg
20250404_133032,50,71.9,snapshots\vehicle_50_20250404_133032.jpg
20250404_133032,50,73.1,snapshots\vehicle_50_20250404_133032.jpg
20250404_133033,50,71.7,snapshots\vehicle_50_20250404_133033.jpg
20250404_133033,50,70.1,snapshots\vehicle_50_20250404_133033.jpg
20250404_133033,50,68.0,snapshots\vehicle_50_20250404_133033.jpg
20250404_133033,50,66.0,snapshots\vehicle_50_20250404_133033.jpg
20250404_133033,50,63.6,snapshots\vehicle_50_20250404_133033.jpg
20250404_133033,50,62.9,snapshots\vehicle_50_20250404_133033.jpg
20250404_133033,50,62.7,snapshots\vehicle_50_20250404_133033.jpg
20250404_133033,50,62.6,snapshots\vehicle_50_20250404_133033.jpg
20250404_133033,50,62.6,snapshots\vehicle_50_20250404_133033.jpg
20250404_133033,50,62.6,snapshots\vehicle_50_20250404_133033.jpg
20250404_133033,50,62.6,snapshots\vehicle_50_20250404_133033.jpg
20250404_133033,50,62.6,snapshots\vehicle_50_20250404_133033.jpg
20250404_133034,50,62.6,snapshots\vehicle_50_20250404_133034.jpg
20250404_133034,50,62.6,snapshots\vehicle_50_20250404_133034.jpg
